OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
115,D32008,Rowes Wharf at Atlantic Ave,42.357143000000001,-71.050698999999994,Boston,Yes,15,POINT (-71.050698999999952 42.357143000000065),-71.050698999999952,42.357143000000065
116,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184000000000,-71.095170999999993,Boston,Yes,23,POINT (-71.095170999999937 42.331184000000064),-71.095170999999937,42.331184000000064
117,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.317873290000001,-71.082430779999996,Boston,Yes,10,POINT (-71.082430779999981 42.31787329000008),-71.082430779999981,42.317873290000080
118,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.336244450000002,-71.087985630000006,Boston,Yes,26,POINT (-71.087985629999935 42.336244450000038),-71.087985629999935,42.336244450000038
119,E32007,S Huntington Ave at Heath St,42.327603869999997,-71.110891699999996,Boston,Yes,15,POINT (-71.110891699999968 42.327603870000075),-71.110891699999968,42.327603870000075
120,T32012,Salem MBTA - Lower Level,42.523994000000002,-70.896839999999997,Salem,Yes,11,POINT (-70.896839999999941 42.523994000000073),-70.896839999999941,42.523994000000073
121,T32005,Salem MBTA - Washington at Federal St,42.523452390000003,-70.896111129999994,Salem,Yes,13,POINT (-70.896111129999952 42.523452390000045),-70.896111129999952,42.523452390000045
122,T32007,Salem State University - Bike Path at Loring Ave,42.501823989999998,-70.894780760000003,Salem,Yes,15,POINT (-70.894780759999946 42.501823990000048),-70.894780759999946,42.501823990000048
123,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.310600000000001,-71.053899999999999,Boston,Yes,14,POINT (-71.053899999999942 42.310600000000079),-71.053899999999942,42.310600000000079
124,C32036,Seaport Blvd at Sleeper St,42.353178090000000,-71.048173570000003,Boston,Yes,15,POINT (-71.04817356999996 42.353178090000029),-71.048173569999960,42.353178090000029
125,B32014,Seaport Hotel - Congress St at Seaport Ln,42.348810260000000,-71.041677440000001,Boston,Yes,19,POINT (-71.041677439999944 42.34881026000005),-71.041677439999944,42.348810260000050
126,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.351481929999998,-71.044360850000004,Boston,Yes,23,POINT (-71.044360849999975 42.351481930000034),-71.044360849999975,42.351481930000034
127,M32063,Sennott Park Broadway at Norfolk Street,42.368605240000001,-71.099301859999997,Cambridge,Yes,19,POINT (-71.099301859999969 42.368605240000079),-71.099301859999969,42.368605240000079
128,D32059,Shawmut Ave at Lenox St,42.335846130000000,-71.080381570000000,Boston,Yes,19,POINT (-71.080381569999986 42.33584613000005),-71.080381569999986,42.335846130000050
129,D32048,Shawmut Ave at Oak St W,42.348545430000001,-71.065591850000004,Boston,Yes,15,POINT (-71.065591849999976 42.348545430000058),-71.065591849999976,42.348545430000058
130,E32009,Shawmut T Stop,42.292917000000003,-71.065749999999994,Boston,Yes,19,POINT (-71.06574999999998 42.292917000000045),-71.065749999999980,42.292917000000045
131,T32003,Shetland Park - Congress at Peabody St,42.518367880000000,-70.889523629999999,Salem,Yes,11,POINT (-70.889523629999985 42.518367880000028),-70.889523629999985,42.518367880000028
132,M32047,Sidney Research Campus/Erie Street at Waverly,42.357753090000003,-71.103934050000007,Cambridge,Yes,19,POINT (-71.103934049999964 42.357753090000074),-71.103934049999964,42.357753090000074
133,D32032,Silber Way,42.349496000000002,-71.100575919999997,Boston,Yes,19,POINT (-71.100575919999983 42.349496000000045),-71.100575919999983,42.349496000000045
134,M32069,Smith Pl at Wilson Rd,42.392397490000000,-71.150583319999996,Cambridge,Yes,19,POINT (-71.150583319999953 42.392397490000064),-71.150583319999953,42.392397490000064
135,A32006,Soldiers Field Park - 111 Western Ave,42.364263440000002,-71.118275699999998,Boston,Yes,15,POINT (-71.11827569999997 42.364263440000059),-71.118275699999970,42.364263440000059
136,S32001,Somerville City Hall,42.386844000000004,-71.098119999999994,Somerville,Yes,19,POINT (-71.098119999999938 42.386844000000053),-71.098119999999938,42.386844000000053
137,S32036,Somerville City Hall Annex,42.391898120000000,-71.097453759999993,Somerville,Yes,19,POINT (-71.097453759999951 42.391898120000064),-71.097453759999951,42.391898120000064
138,S32048,Somerville High School & Central Library,42.386400000000002,-71.096010000000007,Somerville,Yes,17,POINT (-71.096009999999978 42.386400000000037),-71.096009999999978,42.386400000000037
139,S32020,Somerville Hospital,42.390446220000001,-71.108566220000000,Somerville,Yes,15,POINT (-71.108566219999943 42.390446220000058),-71.108566219999943,42.390446220000058
140,C32017,South Boston Library - 646 E Broadway,42.335740999999999,-71.038770000000000,Boston,Yes,15,POINT (-71.038769999999943 42.335741000000041),-71.038769999999943,42.335741000000041
141,A32009,South End Library - Tremont St at W Newton St,42.341332000000001,-71.076847000000001,Boston,Yes,15,POINT (-71.076846999999987 42.341332000000079),-71.076846999999987,42.341332000000079
142,A32010,South Station - 700 Atlantic Ave,42.352175000000003,-71.055547000000004,Boston,Yes,47,POINT (-71.055546999999933 42.352175000000045),-71.055546999999933,42.352175000000045
143,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378337999999999,-71.048927000000006,Boston,Yes,19,POINT (-71.048926999999935 42.378338000000042),-71.048926999999935,42.378338000000042
144,C32087,Spring St at Powell St,42.277484440000002,-71.163414680000002,Boston,Yes,19,POINT (-71.16341467999996 42.27748444000008),-71.163414679999960,42.277484440000080
145,K32007,St Mary's,42.346197080000003,-71.107286810000005,Brookline,Yes,15,POINT (-71.107286809999948 42.346197080000024),-71.107286809999948,42.346197080000024
146,B32063,St. Alphonsus St at Tremont St,42.333292550000003,-71.101246480000000,Boston,Yes,18,POINT (-71.101246479999986 42.333292550000067),-71.101246479999986,42.333292550000067
147,C32024,State Street at Channel Center,42.344137000000003,-71.052608000000006,Boston,Yes,19,POINT (-71.052607999999964 42.344137000000046),-71.052607999999964,42.344137000000046
148,D32041,Stony Brook T Stop,42.316966000000001,-71.104374000000007,Boston,Yes,19,POINT (-71.10437399999995 42.316966000000036),-71.104373999999950,42.316966000000036
149,D32049,Stuart St at Berkeley St,42.349544029999997,-71.072420739999998,Boston,Yes,19,POINT (-71.072420739999984 42.349544030000061),-71.072420739999984,42.349544030000061
150,D32011,Stuart St at Charles St,42.351146000000000,-71.066288999999998,Boston,Yes,18,POINT (-71.066288999999983 42.351146000000028),-71.066288999999983,42.351146000000028
151,D32053,Sullivan Square,42.384452260000003,-71.075148549999994,Boston,Yes,19,POINT (-71.075148549999938 42.384452260000046),-71.075148549999938,42.384452260000046
152,R32001,Sumner St at Shirley Ave,42.408337060000001,-70.998048479999994,Revere,Yes,11,POINT (-70.998048479999966 42.408337060000065),-70.998048479999966,42.408337060000065
153,A32013,Surface Rd at India St,42.358154999999996,-71.052162999999993,Boston,Yes,19,POINT (-71.05216299999995 42.358155000000068),-71.052162999999950,42.358155000000068
154,A32042,Surface Rd at Summer St,42.352945699999999,-71.056564010000002,Boston,Yes,27,POINT (-71.056564009999988 42.352945700000078),-71.056564009999988,42.352945700000078
155,V32007,Swan St. Park,42.412504509999998,-71.058422250000007,Everett,Yes,15,POINT (-71.058422249999978 42.412504510000076),-71.058422249999978,42.412504510000076
156,C32064,Sydney St at Carson St,42.320393740000000,-71.053554079999998,Boston,Yes,19,POINT (-71.053554079999969 42.320393740000043),-71.053554079999969,42.320393740000043
157,C32043,Talbot Ave At Blue Hill Ave,42.294583299999999,-71.087110999999993,Boston,Yes,15,POINT (-71.087110999999936 42.294583300000056),-71.087110999999936,42.294583300000056
158,C32110,Talbot Ave T Station,42.292251479999997,-71.077972050000000,Boston,Yes,19,POINT (-71.077972049999971 42.292251480000061),-71.077972049999971,42.292251480000061
159,K32008,Tappan St at Brookline Hills MBTA,42.331370170000000,-71.126883609999993,Brookline,Yes,15,POINT (-71.126883609999936 42.331370170000071),-71.126883609999936,42.331370170000071
160,S32011,Teele Square,42.400879500000002,-71.125907929999997,Somerville,Yes,15,POINT (-71.125907929999983 42.40087950000003),-71.125907929999983,42.400879500000030
161,E32011,The Dimock Center,42.319309429999997,-71.096399239999997,Boston,Yes,16,POINT (-71.096399239999982 42.319309430000033),-71.096399239999982,42.319309430000033
162,A32033,The Eddy - New St at Sumner St,42.370744000000002,-71.044201000000001,Boston,Yes,15,POINT (-71.044200999999987 42.370744000000059),-71.044200999999987,42.370744000000059
163,C32028,The Lawn on D,42.344791999999998,-71.044023999999993,Boston,Yes,19,POINT (-71.044023999999979 42.344792000000041),-71.044023999999979,42.344792000000041
164,D32054,The Overlook at St. Gabriel's,42.346790079999998,-71.145498140000001,Boston,Yes,18,POINT (-71.145498139999972 42.346790080000062),-71.145498139999972,42.346790080000062
165,M32048,Third at Binney,42.365444859999997,-71.082771420000000,Cambridge,Yes,15,POINT (-71.082771419999972 42.365444860000025),-71.082771419999972,42.365444860000025
166,L32005,Thorndike Field at Minuteman Bikeway,42.400168049999998,-71.144569630000007,Arlington,Yes,11,POINT (-71.144569629999978 42.400168050000048),-71.144569629999978,42.400168050000048
167,C32000,Tremont St at E Berkeley St,42.345391999999997,-71.069615999999996,Boston,Yes,19,POINT (-71.06961599999994 42.345392000000061),-71.069615999999940,42.345392000000061
168,B32056,Tremont St at Hamilton Pl,42.356683349999997,-71.061666459999998,Boston,Yes,18,POINT (-71.061666459999969 42.356683350000026),-71.061666459999969,42.356683350000026
169,C32056,Tremont St at Northampton St,42.338431800000002,-71.081690499999993,Boston,Yes,19,POINT (-71.081690499999979 42.33843180000008),-71.081690499999979,42.338431800000080
170,C32060,Tremont St at W. Dedham St,42.342549140000003,-71.074214490000003,Boston,Yes,15,POINT (-71.074214489999974 42.342549140000074),-71.074214489999974,42.342549140000074
171,D32014,Tremont St at West St,42.354979000000000,-71.063348000000005,Boston,Yes,15,POINT (-71.063347999999962 42.354979000000071),-71.063347999999962,42.354979000000071
172,A32058,Tremont St. at Court St.,42.359321999999999,-71.059623999999999,,Yes,19,POINT (-71.059623999999985 42.359322000000077),-71.059623999999985,42.359322000000077
173,C32035,Troy Boston,42.343749000000003,-71.062256000000005,Boston,Yes,5,POINT (-71.062255999999934 42.343749000000059),-71.062255999999934,42.343749000000059
174,S32042,Trum Field @ Cedar St (Temp Winter Station),42.398443999999998,-71.107832999999999,Somerville,Yes,19,POINT (-71.107832999999971 42.39844400000004),-71.107832999999971,42.398444000000040
175,F32003,Tufts Sq - Main St at Medford St,42.401696999999999,-71.106127999999998,Medford,Yes,11,POINT (-71.106127999999956 42.40169700000007),-71.106127999999956,42.401697000000070
176,A32001,Union Square - Brighton Ave at Cambridge St,42.353333999999997,-71.137313000000006,Boston,Yes,19,POINT (-71.137312999999949 42.353334000000075),-71.137312999999949,42.353334000000075
177,S32002,Union Square - Somerville,42.379647900000002,-71.095404759999994,Somerville,Yes,19,POINT (-71.095404759999951 42.379647900000066),-71.095404759999951,42.379647900000066
178,S32041,Union Square East,42.380077999999997,-71.090097999999998,Somerville,Yes,19,POINT (-71.090097999999955 42.380078000000026),-71.090097999999955,42.380078000000026
179,C32014,University of Massachusetts Boston - Campus Center,42.312189179999997,-71.036485859999999,Boston,Yes,19,POINT (-71.036485859999971 42.312189180000075),-71.036485859999971,42.312189180000075
180,M32040,University Park,42.362647789999997,-71.100060940000006,Cambridge,Yes,19,POINT (-71.100060939999935 42.36264779000004),-71.100060939999935,42.362647790000040
181,A32053,Valenti Way at Haverhill St,42.364738989999999,-71.059349030000007,Boston,Yes,24,POINT (-71.059349029999964 42.364738990000035),-71.059349029999964,42.364738990000035
182,M32057,Vassal Lane at Tobin/VLUS,42.385367649999999,-71.137756710000005,Cambridge,Yes,19,POINT (-71.137756709999962 42.385367650000035),-71.137756709999962,42.385367650000035
